# degauss   lambda    int alpha2F  <log w>     N(Ef)
  0.005    2.982766    2.982881  1137.020    5.707476
  0.010    2.512081    2.512109  1158.771    5.493332
  0.015    2.393654    2.393658  1170.576    5.643650
  0.020    2.355503    2.355498  1172.825    5.693171
  0.025    2.339934    2.339925  1172.444    5.666484
  0.030    2.327238    2.327226  1172.028    5.611220
  0.035    2.314138    2.314125  1171.950    5.552323
  0.040    2.301283    2.301268  1172.229    5.498110
  0.045    2.289021    2.289006  1172.584    5.450300
  0.050    2.278212    2.278196  1173.229    5.408777
