     lambda = 2.982766 (   2.982881 )  <log w>= 1137.020 K  N(Ef)=  5.707476 at degauss= 0.005
     lambda = 2.512081 (   2.512109 )  <log w>= 1158.771 K  N(Ef)=  5.493332 at degauss= 0.010
     lambda = 2.393654 (   2.393658 )  <log w>= 1170.576 K  N(Ef)=  5.643650 at degauss= 0.015
     lambda = 2.355503 (   2.355498 )  <log w>= 1172.825 K  N(Ef)=  5.693171 at degauss= 0.020
     lambda = 2.339934 (   2.339925 )  <log w>= 1172.444 K  N(Ef)=  5.666484 at degauss= 0.025
     lambda = 2.327238 (   2.327226 )  <log w>= 1172.028 K  N(Ef)=  5.611220 at degauss= 0.030
     lambda = 2.314138 (   2.314125 )  <log w>= 1171.950 K  N(Ef)=  5.552323 at degauss= 0.035
     lambda = 2.301283 (   2.301268 )  <log w>= 1172.229 K  N(Ef)=  5.498110 at degauss= 0.040
     lambda = 2.289021 (   2.289006 )  <log w>= 1172.584 K  N(Ef)=  5.450300 at degauss= 0.045
     lambda = 2.278212 (   2.278196 )  <log w>= 1173.229 K  N(Ef)=  5.408777 at degauss= 0.050
lambda        omega_log          T_c
   2.98277      1137.020            183.945
   2.51208      1158.771            170.011
   2.39365      1170.576            166.480
   2.35550      1172.825            165.016
   2.33993      1172.444            164.223
   2.32724      1172.028            163.556
   2.31414      1171.950            162.912
   2.30128      1172.229            162.325
   2.28902      1172.584            161.771
   2.27821      1173.229            161.325
